,url,start,end,text
0,youtube.com,10,20,?덉떆?낅땲?
1,https://www.youtube.com/watch?v=c7kM4kmq1uc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif,271,276,미친 세상이야 시팔 이게 말이 돼요?
2,https://www.youtube.com/watch?v=c7kM4kmq1uc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif,436,442,그 새끼가 그렇다 하면 믿을꺼야? 그 새끼가 비트코인 금이라 하면 믿을거냐고
3,https://www.youtube.com/watch?v=c7kM4kmq1uc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif,479,483,그럼 시바 오늘 비트코인 둠스데이 찍는거야
4,https://www.youtube.com/watch?v=_-J-gDPQpNU&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=2,175,258,불편해 불편하면 시바 자세를 고쳐 앉아
5,https://www.youtube.com/watch?v=_-J-gDPQpNU&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=2,439,442,이 새끼 취했네
6,https://www.youtube.com/watch?v=_-J-gDPQpNU&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=2,468,451,섹스 뭐 이러고 있냐
7,https://www.youtube.com/watch?v=r5XcUGZIlto&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=3,287,291,응 힐있어 이 새끼야
8,https://www.youtube.com/watch?v=r5XcUGZIlto&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=3,344,348,어 씨발
9,https://www.youtube.com/watch?v=r5XcUGZIlto&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=3,378,681,아 파이크 씨발 개띠껍네
10,https://www.youtube.com/watch?v=r5XcUGZIlto&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=3,816,819,진짜 좆 될뻔 했다 진짜
11,https://www.youtube.com/watch?v=wSKQKqFsIBg&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,9,15,짜증 존나 존나낼꺼야 아마 더러운방송이야 보지마 얘들아
12,https://www.youtube.com/watch?v=wSKQKqFsIBg&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,60,63,원래 못하는 새끼들 특징이야 입만 살거든
13,https://www.youtube.com/watch?v=wSKQKqFsIBg&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,62,66,입만 살거든 좆도 못하면서 지가 잘하는줄 알고 그게
14,https://www.youtube.com/watch?v=wSKQKqFsIBg&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,186,189,으 버스 맞자나 씨발 이러면서 개지랄해서
15,https://www.youtube.com/watch?v=0x2NIQqhlVc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,8,11,뭐 이 미친 새끼야
16,https://www.youtube.com/watch?v=0x2NIQqhlVc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,15,18,이런 병신새끼 야 이새끼 뒤졌어
17,https://www.youtube.com/watch?v=0x2NIQqhlVc&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=5,32,34,이런 병신새끼라고 야야
18,https://www.youtube.com/watch?v=Ikn9hrLaQ-8&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=6,13,20,야 욕도 가끔나와야 재밌는거지 맨날 시팔련이 시팔련이 시팔련이 뭐 계속나와 요즘에야
19,https://www.youtube.com/watch?v=9eVzWijIsKE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=8,51,55,내가 뭐 롤 안할때고 욕하는 사람인 줄 아네 저 그런 미친놈 아닙니다
20,https://www.youtube.com/watch?v=9eVzWijIsKE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=8,252,255,아니그럼 시바 뭘 읽어줘야 돼
21,https://www.youtube.com/watch?v=9eVzWijIsKE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=8,481,488,아 씨발 어어
22,https://www.youtube.com/watch?v=9eVzWijIsKE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=8,488,491,핑 찍지마 개새끼야
23,https://www.youtube.com/watch?v=9eVzWijIsKE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=8,653,657,아 좆됐네 아 걸렸다
24,https://www.youtube.com/watch?v=7SwQ93rr4SE&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=11,13,20,아니 라이엇에서 아니라잖아 씨발 병신아 어
25,https://www.youtube.com/watch?v=K2JyNLtp93Q&list=PLoLWSFcGmTUD25Q28NTZV1wBWSwX0Pnif&index=10,24,30,잘자 성대오빤줄 씨발 야 씨발새끼야 이런 씨발련이
